year,round,date,circuit_name,driver_code,driver_number,team_name,grid_position,classified_position,status,points_real
2000,14,2000-09-10 00:00:00+00:00,Italian Grand Prix,FIS,11,Benetton,9.0,11,+1 Lap,0.0
2000,14,2000-09-10 00:00:00+00:00,Italian Grand Prix,,1,McLaren,3.0,2,Finished,6.0
2000,14,2000-09-10 00:00:00+00:00,Italian Grand Prix,SCH,9,Williams,7.0,3,Finished,4.0
2000,14,2000-09-10 00:00:00+00:00,Italian Grand Prix,WUR,12,Benetton,13.0,5,Finished,2.0
2000,14,2000-09-10 00:00:00+00:00,Italian Grand Prix,ZON,23,BAR,17.0,6,Finished,1.0
2000,14,2000-09-10 00:00:00+00:00,Italian Grand Prix,HEI,15,Prost,20.0,R,Spun off,0.0
2000,14,2000-09-10 00:00:00+00:00,Italian Grand Prix,VIL,22,BAR,4.0,R,Electrical,0.0
2000,14,2000-09-10 00:00:00+00:00,Italian Grand Prix,BUT,10,Williams,12.0,R,Spun off,0.0
2000,14,2000-09-10 00:00:00+00:00,Italian Grand Prix,BAR,4,Ferrari,2.0,R,Collision,0.0
2000,14,2000-09-10 00:00:00+00:00,Italian Grand Prix,COU,2,McLaren,5.0,R,Collision,0.0
2000,14,2000-09-10 00:00:00+00:00,Italian Grand Prix,TRU,6,Jordan,6.0,R,Collision,0.0
2000,14,2000-09-10 00:00:00+00:00,Italian Grand Prix,DLR,18,Arrows,10.0,R,Collision,0.0
2000,15,2000-09-24 00:00:00+00:00,United States Grand Prix,MSC,3,Ferrari,1.0,1,Finished,10.0
2000,15,2000-09-24 00:00:00+00:00,United States Grand Prix,WUR,12,Benetton,11.0,10,+1 Lap,0.0
2000,15,2000-09-24 00:00:00+00:00,United States Grand Prix,BAR,4,Ferrari,4.0,2,Finished,6.0
2000,15,2000-09-24 00:00:00+00:00,United States Grand Prix,,5,Jordan,7.0,3,Finished,4.0
2000,15,2000-09-24 00:00:00+00:00,United States Grand Prix,VIL,22,BAR,8.0,4,Finished,3.0
2000,15,2000-09-24 00:00:00+00:00,United States Grand Prix,COU,2,McLaren,2.0,5,Finished,2.0
2000,15,2000-09-24 00:00:00+00:00,United States Grand Prix,ZON,23,BAR,12.0,6,Finished,1.0
2000,15,2000-09-24 00:00:00+00:00,United States Grand Prix,HEI,15,Prost,16.0,9,+1 Lap,0.0
2000,15,2000-09-24 00:00:00+00:00,United States Grand Prix,SCH,9,Williams,10.0,R,Engine,0.0
2000,15,2000-09-24 00:00:00+00:00,United States Grand Prix,DLR,18,Arrows,18.0,R,Gearbox,0.0
2000,15,2000-09-24 00:00:00+00:00,United States Grand Prix,FIS,11,Benetton,15.0,R,Engine,0.0
2000,15,2000-09-24 00:00:00+00:00,United States Grand Prix,BUT,10,Williams,6.0,R,Engine,0.0
2000,15,2000-09-24 00:00:00+00:00,United States Grand Prix,TRU,6,Jordan,5.0,R,Collision,0.0
2000,16,2000-10-08 00:00:00+00:00,Japanese Grand Prix,MSC,3,Ferrari,1.0,1,Finished,10.0
2000,16,2000-10-08 00:00:00+00:00,Japanese Grand Prix,DLR,18,Arrows,13.0,12,+1 Lap,0.0
2000,16,2000-10-08 00:00:00+00:00,Japanese Grand Prix,TRU,6,Jordan,15.0,13,+1 Lap,0.0
2000,16,2000-10-08 00:00:00+00:00,Japanese Grand Prix,FIS,11,Benetton,12.0,14,+1 Lap,0.0
2000,16,2000-10-08 00:00:00+00:00,Japanese Grand Prix,,1,McLaren,2.0,2,Finished,6.0
2000,16,2000-10-08 00:00:00+00:00,Japanese Grand Prix,COU,2,McLaren,3.0,3,Finished,4.0
2000,16,2000-10-08 00:00:00+00:00,Japanese Grand Prix,BAR,4,Ferrari,4.0,4,Finished,3.0
2000,16,2000-10-08 00:00:00+00:00,Japanese Grand Prix,BUT,10,Williams,5.0,5,Finished,2.0
2000,16,2000-10-08 00:00:00+00:00,Japanese Grand Prix,VIL,22,BAR,9.0,6,+1 Lap,1.0
2000,16,2000-10-08 00:00:00+00:00,Japanese Grand Prix,ZON,23,BAR,18.0,9,+1 Lap,0.0
2000,16,2000-10-08 00:00:00+00:00,Japanese Grand Prix,SCH,9,Williams,6.0,R,Spun off,0.0
2000,16,2000-10-08 00:00:00+00:00,Japanese Grand Prix,HEI,15,Prost,16.0,R,Suspension,0.0
2000,16,2000-10-08 00:00:00+00:00,Japanese Grand Prix,WUR,12,Benetton,11.0,R,Spun off,0.0
2000,17,2000-10-22 00:00:00+00:00,Malaysian Grand Prix,MSC,3,Ferrari,1.0,1,Finished,10.0
2000,17,2000-10-22 00:00:00+00:00,Malaysian Grand Prix,TRU,6,Jordan,9.0,12,+1 Lap,0.0
2000,17,2000-10-22 00:00:00+00:00,Malaysian Grand Prix,COU,2,McLaren,3.0,2,Finished,6.0
2000,17,2000-10-22 00:00:00+00:00,Malaysian Grand Prix,BAR,4,Ferrari,4.0,3,Finished,4.0
2000,17,2000-10-22 00:00:00+00:00,Malaysian Grand Prix,,1,McLaren,2.0,4,Finished,3.0
2000,17,2000-10-22 00:00:00+00:00,Malaysian Grand Prix,VIL,22,BAR,6.0,5,Finished,2.0
2000,17,2000-10-22 00:00:00+00:00,Malaysian Grand Prix,WUR,12,Benetton,5.0,7,Finished,0.0
2000,17,2000-10-22 00:00:00+00:00,Malaysian Grand Prix,FIS,11,Benetton,13.0,9,+1 Lap,0.0
2000,17,2000-10-22 00:00:00+00:00,Malaysian Grand Prix,ZON,23,BAR,11.0,R,Engine,0.0
2000,17,2000-10-22 00:00:00+00:00,Malaysian Grand Prix,SCH,9,Williams,8.0,R,Engine,0.0
2000,17,2000-10-22 00:00:00+00:00,Malaysian Grand Prix,BUT,10,Williams,16.0,R,Engine,0.0
2000,17,2000-10-22 00:00:00+00:00,Malaysian Grand Prix,DLR,18,Arrows,14.0,R,Collision,0.0
2000,17,2000-10-22 00:00:00+00:00,Malaysian Grand Prix,HEI,15,Prost,19.0,R,Collision,0.0
2001,1,2001-03-04 00:00:00+00:00,Australian Grand Prix,MSC,1,Ferrari,1.0,1,Finished,10.0
2001,1,2001-03-04 00:00:00+00:00,Australian Grand Prix,ALO,21,Minardi,19.0,12,+2 Laps,0.0
2001,1,2001-03-04 00:00:00+00:00,Australian Grand Prix,FIS,7,Benetton,17.0,13,+3 Laps,0.0
2001,1,2001-03-04 00:00:00+00:00,Australian Grand Prix,COU,4,McLaren,6.0,2,Finished,6.0
2001,1,2001-03-04 00:00:00+00:00,Australian Grand Prix,BAR,2,Ferrari,2.0,3,Finished,4.0
2001,1,2001-03-04 00:00:00+00:00,Australian Grand Prix,HEI,16,Sauber,10.0,4,Finished,3.0
2001,1,2001-03-04 00:00:00+00:00,Australian Grand Prix,,11,Jordan,4.0,5,Finished,2.0
